"Year","SZ"
1960.25,-0.530706666666667
1960.5,-0.219253333333333
1960.75,-0.065233
1961,2.32838666666667
1961.25,-0.6714
1961.5,0.190866666666667
1961.75,0.599933333333333
1962,0.351953333333333
1962.25,-0.9832
1962.5,0.758073333333333
1962.75,0.117668
1963,0.469936666666667
1963.25,0.331556666666667
1963.5,0.522106666666667
1963.75,-0.382772333333333
1964,-0.359986666666667
1964.25,-0.53888
1964.5,-0.709113333333333
1964.75,0.363753333333333
1965,-0.324176666666667
1965.25,-0.87123
1965.5,-0.569893333333333
1965.75,-0.071022
1966,-0.979546666666667
1966.25,0.2707
1966.5,0.63627
1966.75,0.428966666666667
1967,-1.33323666666667
1967.25,-0.131073333333333
1967.5,0.04223
1967.75,0.496033333333333
1968,0.03847
1968.25,0.6938
1968.5,-0.619151
1968.75,0.111426666666667
1969,0.460496666666667
1969.25,3.17646666666667
1969.5,0.26819
1969.75,0.217766666666667
1970,-1.83424333333333
1970.25,1.21082
1970.5,-1.66616333333333
1970.75,-1.47394333333333
1971,-1.93245933333333
1971.25,1.99023333333333
1971.5,1.09944266666667
1971.75,-1.92378333333333
1972,-0.961966666666667
1972.25,-0.92864
1972.5,-0.470093333333333
1972.75,0.424916666666667
1973,2.02215
1973.25,0.0455999999999999
1973.5,3.37158333333333
1973.75,-2.13717
1974,-1.48463333333333
1974.25,3.71213333333333
1974.5,-1.72176666666667
1974.75,-2.91514
1975,-1.90444
1975.25,2.12470666666667
1975.5,1.7658357
1975.75,-2.03237333333333
1976,-1.98571666666667
1976.25,-0.276079333333333
1976.5,-1.91892333333333
1976.75,-1.77274333333333
1977,-0.736713333333333
1977.25,-0.296933333333333
1977.5,0.72618
1977.75,0.50878
1978,-0.62826
1978.25,-0.04374
1978.5,-0.32039
1978.75,1.83491333333333
1979,-0.54573
1979.25,-0.372533333333333
1979.5,2.20334666666667
1979.75,4.2077
1980,7.80456333333333
1980.25,-15.26874
1980.5,8.14273333333333
1980.75,14.8866666666667
1981,-9.87006666666667
1981.25,12.7963666666667
1981.5,-6.68244666666667
1981.75,-3.9534
1982,8.47048566666667
1982.25,1.47101
1982.5,-4.18303333333333
1982.75,0.11842
1983,0.81349
1983.25,0.04675
1983.5,0.0532766666666667
1983.75,-1.14362333333333
1984,-0.27122
1984.25,1.40703666666667
1984.5,0.455313333333333
1984.75,-4.79246666666667
1985,1.87473333333333
1985.25,-2.4891
1985.5,1.98175333333333
1985.75,0.80864
1986,-1.43107
1986.25,0.431743333333333
1986.5,-1.81166666666667
1986.75,1.65748666666667
1987,-2.76707
1987.25,0.3347
1987.5,-0.113036666666667
1987.75,-2.46518
1988,-0.551793333333333
1988.25,1.29436666666667
1988.5,0.362676666666667
1988.75,1.28132866666667
1989,1.58752666666667
1989.25,-0.869553333333333
1989.5,0.2231703
1989.75,-0.695113333333333
1990,0.62751
1990.25,-0.457733333333333
1990.5,0.12209
1990.75,-0.538046666666667
1991,-0.07325
1991.25,0.996353333333333
1991.5,0.0530063333333333
1991.75,-1.10292666666667
1992,-0.0711666666666666
1992.25,-0.600183333333333
1992.5,-0.73839
1992.75,-0.342069666666667
1993,0.59207
1993.25,0.15769
1993.5,0.319566666666667
1993.75,-0.54117
1994,0.269061733333333
1994.25,0.662103333333333
1994.5,-0.338616666666667
1994.75,0.523126666666667
1995,-0.00467666666666666
1995.25,-0.0586733333333333
1995.5,0.330750666666667
1995.75,0.0329633333333334
1996,-0.0512766666666667
1996.25,-0.113790333333333
1996.5,-0.192593333333333
1996.75,0.011164
1997,0.142933333333333
1997.25,-0.425429333333333
1997.5,0.0919233333333333
1997.75,0.0872982333333333
1998,0.681953333333333
1998.25,-0.0632566666666667
1998.5,0.0895566666666667
1998.75,-1.05963333333333
1999,0.768136666666667
1999.25,0.09326
1999.5,0.755466666666667
1999.75,-0.946153333333333
2000,1.00695
2000.25,1.19850333333333
2000.5,0.579356666666667
2000.75,0.15367
2001,-1.96238
2001.25,-1.52783666666667
2001.5,-1.58253333333333
2001.75,-0.0193133333333333
2002,0.284806666666667
2002.25,-0.66774
2002.5,-0.40843
2002.75,-1.28668666666667
2003,-0.188178466666667
